INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:YOLOv5s summary: 213 layers, 7225885 parameters, 0 gradients, 16.4 GFLOPs
INFO:yolov5:Adding AutoShape... 
INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:custom_YOLOv5l summary: 400 layers, 47364662 parameters, 0 gradients
INFO:yolov5:Adding AutoShape... 
WARNING:easyocr.easyocr:CUDA not available - defaulting to CPU. Note: This module is much faster with a GPU.
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:13] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:14] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:45] "OPTIONS /auth/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:45] "POST /auth/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:45] "OPTIONS /auth/decode_token HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:45] "GET /auth/decode_token HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:54:55] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:00] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:55:01] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:20] "OPTIONS /auth/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:20] "POST /auth/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:20] "OPTIONS /auth/decode_token HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:20] "GET /auth/decode_token HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:21] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:26] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:27] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:31] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:31] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:31] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:31] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:32] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:32] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:32] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:32] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:36] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:36] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:36] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:36] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:37] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:37] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:37] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:38] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:43] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:48] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:49] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:53] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:53] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:56:53] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
